crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
TOKBO,Private,"Compliance, Infrastructure, Internet of Things",1-10,"Monza, Lombardia, Italy","433,749",1.0,,,,,,,,,,,,,,,2021-01-01,Active,,20837,TOKBO S.R.L.,Monza e della Brianza,20837.0,Lombardia,VIA PIAVE 28/30,Monza e della Brianza,20837.0,LOMBARDIA,721909.0,19/07/2021,,Attiva,S.R.L.
ANT-X,Private,"Aerospace, Drones, Manufacturing",1-10,"Milano, Lombardia, Italy","1,417,185",12.0,,,,,,,,,,,,"Mattia Giurato, Simone Panza",2.0,,2020-01-01,Active,$1M to $10M,20158,ANT-X S.R.L.,Milano,20158.0,Lombardia,,,,,620100.0,27/02/2020,,Attiva,S.R.L.
AddyX,Private,"Advanced Materials, Machinery Manufacturing, Product Research",1-10,"Montesilvano, Abruzzi, Italy","478,664",3.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,65015,ADDYX S.R.L.,Pescara,65015.0,Abruzzo,,,,,222909.0,22/04/2021,,Attiva,S.R.L.
Klondike,Private,"Artificial Intelligence (AI), CRM, Enterprise Resource Planning (ERP)",1-10,"Milan, Lombardia, Italy","1,813,041",8.0,,,,,,,,,,,,"Davide Bonamini, Davide Giarolo",2.0,,2020-01-01,Active,,20126,KLONDIKE S.R.L.,Milano,20126.0,Lombardia,VIALE SARCA 336/F,Milano,20126.0,LOMBARDIA,620100.0,04/12/2020,,Attiva,S.R.L.
Mango3 Labs,Private,"Artificial Intelligence (AI), Industrial, Sensor",1-10,"Naples, Campania, Italy","2,674,440",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,80023,MANGO3 LABS S.R.L.,Napoli,80019.0,Campania,VIA COLONNELLO D.MORGERA 5,Napoli,80019.0,CAMPANIA,721909.0,11/07/2019,,Attiva,S.R.L.
Five Elements Labs,Private,"Blockchain, Internet, Marketing, Semantic Web, Software, Web3",11-50,"Milano, Lombardia, Italy","101,191",9.0,,,,,,1265000.0,Pre-Seed,1265000.0,1265000.0,Seed,1.0,"Silvio Busonero, Vincenzo Manzon",2.0,,2022-01-01,Active,,20123,FIVE ELEMENTS LABS S.R.L. - IN LIQUIDAZIONE,Milano,20143.0,Lombardia,,,,,620100.0,10/02/2022,,In liquidazione,S.R.L.
360MAKER,Private,"Artificial Intelligence (AI), Augmented Reality, Virtual Reality",1-10,"Offanengo, Lombardia, Italy","795,232",17.0,,,,,,,,,,,,"Marco Ferrari, Nicola Ratti",2.0,,2019-01-01,Active,$1M to $10M,26010,360MAKER S.R.L.,Cremona,26013.0,Lombardia,VIA ALCIDE DE GASPERI 33,Cremona,26010.0,LOMBARDIA,620100.0,28/02/2019,,Attiva,S.R.L.
WScore,Private,"Advertising, Information Technology, Software",1-10,"Rome, Lazio, Italy","3,614,782",3.0,,,,,,,,,,,,,,,2018-01-01,Closed,,,CORE S.R.L.,Reggio nell'Emilia,42014.0,Emilia-Romagna,,,,,620100.0,13/02/2020,,Attiva,S.R.L.
Magaldi Green Energy,Private,"Battery, Electrical Distribution, Energy Management",1-10,"Rome, Lazio, Italy","711,210",2.0,,,,,,,,,,,,,,,2021-01-01,Active,,186,MAGALDI GREEN ENERGY S.R.L.,Roma,186.0,Lazio,PIAZZA DI PIETRA 26,Roma,186.0,LAZIO,253000.0,16/03/2021,,Attiva,S.R.L.
Calma Management,Private,"Consulting, Management Consulting, Music",1-10,"Modena, Emilia-Romagna, Italy","3,253,319",11.0,,,,,,,,,,,,Stefania Bellodi,1.0,,2019-01-01,Active,Less than $1M,41121,MAIA MANAGEMENT SRL,Torino,10098.0,Piemonte,,,,,731102.0,24/01/2022,,Attiva,S.R.L.
Kiwi,Private,"Logistics, Software, Software Engineering",1-10,"Viadana, Lombardia, Italy","2,037,887",14.0,,,,,,,,,,,,,,,2018-01-01,Active,Less than $1M,46019,KIWII S.R.L.,Firenze,50141.0,Toscana,,,,,620100.0,28/03/2022,,Attiva,S.R.L.
Colossus,Private,"Blockchain, FinTech, Transaction Processing",11-50,"Rome, Lazio, Italy","68,598",7.0,,,,,,2729994.0,Seed,2729994.0,2729994.0,Seed,1.0,"Andrea Calandruccio, Gianni Pelosi, Lorenzo Barbantini Scanni",3.0,,2022-01-01,Active,,154,COLOSSUS S.R.L.,Roma,154.0,Lazio,,,,,620100.0,18/06/2021,,Attiva,S.R.L.
Metricode,Private,"Apps, Database, Software",1-10,"Modena, Emilia-Romagna, Italy","1,403,738",10.0,,,,,,,,,,,,,,,2019-01-01,Active,,41011,METRICODE S.R.L.,Modena,41011.0,Emilia-Romagna,,,,,620100.0,18/01/2019,,Attiva,S.R.L.
Tale,Private,"Advertising, Brand Marketing, Consulting, Digital Marketing, E-Commerce",1-10,"Mirano, Veneto, Italy","533,416",,,,,,,,,,,,,"Davide Stevanato, Fabio Marangoni",2.0,,2024-12-01,Active,,300035,OTALES S.R.L.,Milano,20155.0,Lombardia,,,,,620100.0,04/10/2022,,Attiva,S.R.L.
Calibro Zero,Private,"Graphic Design, Information Technology, Software, UX Design, Web Development",,"Torino, Piemonte, Italy","328,050",38.0,,,,,,,,,,,,Margherita Iperique,1.0,,2021-01-29,Active,Less than $1M,,CALIBRO ZERO S.R.L.,Torino,10138.0,Piemonte,,,,,620200.0,29/01/2021,,Attiva,S.R.L.
Ok Home,Private,"Apps, Software, Web Apps",1-10,"Florence, Toscana, Italy","1,409,145",11.0,,,,,,,,,,,,Giovanni Beretta Anguissola,1.0,,2018-01-01,Active,Less than $1M,50124,OK HOME S.R.L.,Firenze,50132.0,Toscana,VIA DEGLI ARTISTI 18,Firenze,50132.0,TOSCANA,620100.0,14/12/2018,,Attiva,S.R.L.
Holidoit,Private,"Internet, Marketplace, Travel",1-10,"Milan, Lombardia, Italy","63,191",3.0,,,2.0,,"McKinsey & Company, Marco Pescarmona",1545019.0,Seed,1122842.0,1122842.0,Seed,2.0,,,,2020-01-01,Active,,,HOLIDOIT S.R.L.,Milano,20121.0,Lombardia,,,,,631200.0,24/11/2020,,Attiva,S.R.L.
BGreen Technologies,Private,"Biotechnology, Consulting, Information Technology",1-10,"Bergamo, Lombardia, Italy","1,364,263",10.0,,,,,,,,,,,,"Ghilardi Ugo, Giacomo Ghilardi, Raffaele Cavaliere",3.0,,2019-01-01,Active,$1M to $10M,24126,REMEDY TECHNOLOGIES S.R.L.,Milano,20145.0,Lombardia,VIA TIZIANO 18/20,Milano,20145.0,LOMBARDIA,325030.0,01/06/2021,,Attiva,S.R.L.
Innolva,Private,"Analytics, Business Information Systems, Risk Management",251-500,"Milan, Lombardia, Italy","704,047",3.0,,,,,,,,,,,,,,,2018-12-31,Active,$50M to $100M,,INNOVA S.R.L.,Napoli,80038.0,Campania,,,,,620200.0,30/04/2021,,Attiva,S.R.L.
Hhype,Private,"Advertising, Content, Digital Marketing, Social Media Management, Web Development",1-10,"Rome, Lazio, Italy","3,045,801",5.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,162,HYPE S.R.L.,Torino,10121.0,Piemonte,CORSO PESCHIERA 327,Torino,10141.0,PIEMONTE,711220.0,27/11/2019,,Attiva,S.R.L.
AMT,Private,"Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, Manufacturing",11-50,"Pistoia, Toscana, Italy","1,076,025",34.0,,,,,,,,,,,,Daniele Foto,1.0,,2019-09-09,Active,Less than $1M,51100,AMT S.R.L.,Pistoia,51031.0,Toscana,,,,,251100.0,31/07/2019,,Attiva,S.R.L.
Walà Srl Società Benefit,Private,Consulting,1-10,"Milan, Lombardia, Italy","3,193,847",,,,,,,,,,,,,Domenico De Liso,1.0,,2021-01-01,Active,,,WELLY S.R.L. SOCIETA' BENEFIT,Bologna,40068.0,Emilia-Romagna,VIA FOSSE ARDEATINE 9,Bologna,40068.0,EMILIA-ROMAGNA,620100.0,28/06/2021,,Attiva,S.R.L.
Foodprime,Private,"Food and Beverage, Food Delivery, Restaurants",11-50,"Rome, Lazio, Italy","2,779,942",10.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,152,FOOD PRIME S.R.L.,Roma,169.0,Lazio,,,,,561011.0,21/12/2020,,Attiva,S.R.L.
Excentio,Private,"Blockchain, Mobile, Software",1-10,"Turin, Piemonte, Italy","1,457,140",10.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,10138,EXCENTIO PRESENT S.R.L.,Torino,10141.0,Piemonte,,,,,620200.0,08/04/2021,,Attiva,S.R.L.
Soter IT Security,Private,"Cyber Security, Information Technology",1-10,"Turin, Piemonte, Italy","3,218,861",9.0,,,,,,,,,,,,,,,2021-01-01,Active,$1M to $10M,10142,SOTER IT SECURITY S.R.L.,Torino,10139.0,Piemonte,,,,,620100.0,18/02/2021,,Attiva,S.R.L.
AI2LIFE,Private,"Consulting, Technical Support, Training",1-10,"Rome, Lazio, Italy","1,101,181",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,199,AI2LIFE S.R.L.,Roma,199.0,Lazio,,,,,620100.0,05/10/2020,,Attiva,S.R.L.
Tomato AI,Private,"Artificial Intelligence (AI), Software",1-10,"San Giuliano Terme, Toscana, Italy","445,424",7.0,,,,,,,,,,,,,,,2021-01-01,Active,$1M to $10M,56017,TOMATO AI S.R.L.,Pisa,56017.0,Toscana,VIA PIETRASANTINA 29,Pisa,56017.0,TOSCANA,620100.0,08/10/2021,,Attiva,S.R.L.
ImarVi,Private,"Home and Garden, Home Decor, Home Improvement, Interior Design",1-10,"Vicenza, Veneto, Italy","2,183,246",11.0,,,,,,,,,,,,,,,2021-11-01,Active,,,IMAR S.R.L.,Agrigento,92013.0,Sicilia,,,,,620100.0,18/05/2017,,Attiva,S.R.L.
Beamide,Private,"Information Technology, Software, Test and Measurement",1-10,"Perugia, Umbria, Italy","1,095,575",14.0,,,,,,,,,,,,,,,2021-11-22,Active,,6124,BEAMIDE S.R.L.,Perugia,6124.0,Umbria,,,,,721909.0,18/11/2021,,Attiva,S.R.L.
Red Public,Private,"Consulting, Marketing, Public Relations, Social Media Management",11-50,"Milano, Lombardia, Italy","1,481,291",20.0,,,,,,,,,,,,Guido Fienga,1.0,,2018-01-01,Active,$1M to $10M,20144,RES PUBLICA S.R.L.,Napoli,80121.0,Campania,,,,,829910.0,24/05/2019,,Attiva,S.R.L.
Ekore,Private,"Building Maintenance, Internet of Things",11-50,"Milan, Lombardia, Italy","74,874",,,,6.0,,"CDP Venture Capital, HabiSmart, COIMA, Nova Capital, SOM",1345513.0,Seed,1345513.0,1345513.0,Seed,1.0,Andrea Agostini,1.0,,2022-01-01,Active,,20154,EKORE SRL,Udine,33100.0,Friuli-Venezia Giulia,,,,,620100.0,07/10/2022,,Attiva,S.R.L.
BluHub,Private,"Enterprise Applications, Information Technology, Intellectual Property",1-10,"Pescara, Abruzzi, Italy","3,152,674",9.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,65128,BLUHUB SRL,Pescara,65129.0,Abruzzo,VIA TIRINO 425,Pescara,65129.0,ABRUZZO,620200.0,06/09/2019,,Attiva,S.R.L.
01Green,Private,Manufacturing,1-10,"Sasso Marconi, Emilia-Romagna, Italy","100,804",,,,1.0,1.0,Tech4Planet,315629.0,Pre-Seed,315629.0,315629.0,Seed,1.0,,,,2020-01-01,Active,,,01GREEN S.R.L.,Bologna,40037.0,Emilia-Romagna,VIA SAGITTARIO 17,Bologna,40037.0,EMILIA-ROMAGNA,270000.0,02/11/2020,,Attiva,S.R.L.
Ecotec Engineering,Private,"Civil Engineering, Consulting, Project Management, Technical Support",11-50,"Rho, Lombardia, Italy","1,297,480",17.0,,,,,,,,,,,,,,,2018-01-01,Active,,20017,ECATE ENGINEERING S.R.L.,Avellino,83030.0,Campania,,,,,712021.0,08/09/2022,,Attiva,S.R.L.
Reefilla,Private,"Automotive, Battery, CleanTech, Electric Vehicle, Energy Storage",1-10,"Turin, Piemonte, Italy","29,006",11.0,,,10.0,1.0,"CDP Venture Capital, Plug and Play, HCapital Partners, Azimut Libera Impresa, Finpiemonte S.p.A.",5758185.0,Seed,4753575.0,4753575.0,Seed,3.0,"Gabriele Bergoglio, Marco Bevilacqua, Pietro Balda",3.0,,2021-04-01,Active,$1M to $10M,,REEFILLA S.R.L.,Torino,10153.0,Piemonte,VIA BARDASSANO 7,Torino,10132.0,PIEMONTE,620100.0,13/04/2021,,Attiva,S.R.L.
Expofin,Private,"Manufacturing, Renewable Energy, Semiconductor, Solar",1-10,"Padua, Veneto, Italy","1,103,852",27.0,,,,,,,,,,,,Antonio Guadagnino,1.0,,2021-01-01,Active,,35129,EXPOFIN S.R.L.,Padova,35129.0,Veneto,,,,,271100.0,17/11/2021,,Attiva,S.R.L.
AERSHURE,Private,"Health Care, Manufacturing, Medical, Medical Device",1-10,"Bergamo, Lombardia, Italy","2,511,133",10.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,24122,AERSHURE S.R.L.,Bergamo,24122.0,Lombardia,,,,,620100.0,11/03/2021,,Attiva,S.R.L.
Aidapt,Private,"Artificial Intelligence (AI), Consulting, Information Technology",1-10,"Ancona, Marche, Italy","1,325,741",19.0,,,,,,,,,,,,Emanuele Frontoni,1.0,,2021-01-01,Active,Less than $1M,60131,AIDAPT S.R.L.,Ancona,60131.0,Marche,,,,,620100.0,05/07/2021,,Attiva,S.R.L.
Yama,Private,"Internet of Things, SaaS, Software",11-50,"Bologna, Emilia-Romagna, Italy","2,712,040",11.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,40134,YAMA SRL,Bologna,40134.0,Emilia-Romagna,,,,,620100.0,27/11/2020,,Attiva,S.R.L.
BConnect,Private,"Digital Marketing, Web Design, Web Development, Web Hosting",1-10,"Napoli, Campania, Italy","1,947,159",18.0,,,,,,,,,,,,Roberto Russo,1.0,,2021-01-01,Active,Less than $1M,80143,BCONNECT S.R.L.,Napoli,80143.0,Campania,,,,,620100.0,21/05/2021,,Attiva,S.R.L.
SwipeApp Studio,Private,"Android, iOS, Social Media",1-10,"Rome, Lazio, Italy","1,248,672",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,,SWIPEAPP S.R.L.,Roma,195.0,Lazio,,,,,620100.0,24/05/2021,,Attiva,S.R.L.
Audacia Innovation,Private,"Artificial Intelligence (AI), Big Data, Consulting",1-10,"Syracuse, Sicilia, Italy","2,294,061",9.0,,,,,,,,,,,,Luca Stante,1.0,,2021-01-01,Active,,96100,AUDACIA INNOVATIONS SRL,Siracusa,96100.0,Sicilia,VIA EUMELO 32,Siracusa,96100.0,SICILIA,620100.0,20/09/2021,,Attiva,S.R.L.
Design Italy,Private,E-Commerce,11-50,"Milan, Lombardia, Italy","161,479",7.0,,,1.0,,GELLIFY,561877.0,Equity Crowdfunding,561877.0,561877.0,,1.0,"Paola Serena, Roberto Ferrari",2.0,,2018-01-01,Active,,20123,E-DESIGN S.R.L.,Roma,197.0,Lazio,,,,,261109.0,10/05/2021,,Attiva,S.R.L.
Building Innovative Governance,Private,"Asset Management, Real Estate, Real Estate Investment, Social Assistance",1-10,"Reggio Calabria, Calabria, Italy","3,711,846",11.0,,,,,,,,,,,,,,,2018-12-07,Active,Less than $1M,89124,BIG BUILDING INNOVATIVE GOVERNANCE S.R.L.SPIN OFF ACCADEMICO,Reggio di Calabria,89124.0,Calabria,,,,,631119.0,07/12/2018,,Attiva,S.R.L.
Drone Inspection Service,Private,"Drones, Mapping Services",1-10,"Marano Di Napoli, Campania, Italy","599,269",12.0,,,,,,,,,,,,,,,2018-09-10,Active,Less than $1M,,DRONE INSPECTION SERVICE SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,Napoli,80133.0,Campania,,,,,631119.0,18/04/2018,,Attiva,S.R.L. semplificata
Roundabout,Private,"Advertising Platforms, Content Marketing, Digital Marketing, Marketing, Social Media Advertising",1-10,"Turin, Piemonte, Italy","66,591",8.0,,,2.0,2.0,"Startup Wise Guys, Pinto Ventures",361039.0,Seed,294554.0,294554.0,Seed,3.0,"Antonio Montemurro, Ilaria Di Lecce",2.0,,2019-01-10,Active,,,ROUNDABOUT S.R.L.,Torino,10129.0,Piemonte,,,,,620100.0,10/01/2019,,Attiva,S.R.L.
Aequip,Private,"Artificial Intelligence (AI), Health Care, Information Technology, Software",1-10,"Turin, Piemonte, Italy","2,189,953",33.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,10129,EQUIUP SRL,Lecce,73016.0,Puglia,VIA VITTORIO EMANUELE III 79,Lecce,73016.0,PUGLIA,631200.0,25/02/2021,,Attiva,S.R.L.
Managify,Private,"Internet of Things, Software",1-10,"Caserta, Campania, Italy","2,946,944",9.0,,,,,,,,,,,,,,,2021-01-01,Active,,81100,MANAGIFY S.R.L.,Caserta,81100.0,Campania,VIALE CARLO III DI BORBONE 8,Caserta,81100.0,CAMPANIA,620100.0,03/08/2021,,Attiva,S.R.L.
a|impact,Private,,1-10,"Milan, Lombardia, Italy","470,279",13.0,,,1.0,,Fondazione Social Venture Giordano dell'Amore,,Venture - Series Unknown,,,,1.0,,,,2018-01-01,Active,,20131,YMPACT S.R.L.,Milano,20124.0,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124.0,LOMBARDIA,620909.0,30/03/2022,,Attiva,S.R.L.
Di- Tec,Private,"Industrial, Machinery Manufacturing, Manufacturing",,"Egna, Trentino-Alto Adige, Italy","2,134,578",7.0,,,,,,,,,,,,,,,2018-04-20,Active,Less than $1M,39044,MO-TEC SRL,Reggio nell'Emilia,42122.0,Emilia-Romagna,,,,,282209.0,24/10/2022,,Attiva,S.R.L.
LDP Automation,Private,"Outsourcing, Software",,"Milan, Lombardia, Italy","3,088,574",13.0,,,,,,,,,,,,,,,2021-01-01,Active,,20145,LDP AUTOMATION S.R.L.,Milano,20145.0,Lombardia,VIA MICHELANGELO BUONARROTI 39,Milano,20145.0,LOMBARDIA,620100.0,29/07/2021,,Attiva,S.R.L.
AB Innovation Consulting,Private,"Blockchain, Consulting, Data Governance, Finance",1-10,"Milano, Lombardia, Italy","2,144,022",8.0,,,,,,,,,,,,,,,2018-01-01,Active,,20155,AB INNOVATION CONSULTING S.R.L.,Milano,20155.0,Lombardia,VIA AOSTA 4,Milano,20155.0,LOMBARDIA,620100.0,03/07/2020,,Attiva,S.R.L.
BL-SOLUTIONS,Private,"Architecture, Civil Engineering, Consulting",11-50,"Florence, Toscana, Italy","2,628,968",13.0,,,,,,,,,,,,,,,2021-01-01,Active,,50129,LSP SOLUTIONS S.R.L.,Perugia,6132.0,Umbria,,,,,582900.0,09/05/2023,,Attiva,S.R.L.
Pikered,Private,"Artificial Intelligence (AI), Cyber Security, Machine Learning",1-10,"Milan, Lombardia, Italy","712,740",10.0,,,,,,,,,,,,Marco Gallina,1.0,,2020-01-01,Active,$1M to $10M,20121,PIKERED S.R.L.,Milano,20121.0,Lombardia,VIA BORGONUOVO 9,Milano,20121.0,LOMBARDIA,620909.0,14/10/2020,,Attiva,S.R.L.
TerraViva,Private,"Architecture, Real Estate",1-10,"Milan, Lombardia, Italy","157,068",8.0,,,1.0,1.0,B4i - Bocconi for innovation,28860.0,Pre-Seed,28860.0,28860.0,Seed,1.0,"Eugenia Bolla, Omar Rota, Stefano Lardera",3.0,,2020-06-15,Active,,20131,TERRAVIVA S.R.L.,Milano,20131.0,Lombardia,,,,,631200.0,11/10/2022,,Attiva,S.R.L.
A3K Innovation Technology,Private,"3D Printing, 3D Technology, Printing",1-10,"Bitonto, Puglia, Italy","2,164,077",14.0,,,,,,,,,,,,Daniele Monte,1.0,,2021-01-01,Active,,70032,INNOVATION & TECHNOLOGY S.R.L.,Roma,197.0,Lazio,VIA FRANCESCO SIACCI 25,Roma,197.0,LAZIO,702209.0,06/02/2019,,Attiva,S.R.L.
The Hundred,Private,"Internet, Media and Entertainment, Social",11-50,"Milano, Lombardia, Italy","30,537",7.0,,,2.0,2.0,"Nicola Volpi, Antonio Zaccheo",5776674.0,Angel,5776674.0,5776674.0,Seed,1.0,Vincenzo Macrì,1.0,,2019-01-01,Active,,20144,THE HUNDRED S.R.L.,Milano,20122.0,Lombardia,CORSO CRISTOFORO COLOMBO 7,Milano,20144.0,LOMBARDIA,620909.0,30/05/2019,,Attiva,S.R.L.
Xenotech,Private,"Hardware, Information Technology, Software",1-10,"Rome, Lazio, Italy","3,234,779",17.0,,,,,,,,,,,,,,,2020-01-01,Active,,162,XENOTECH S.R.L.,Roma,137.0,Lazio,,,,,721909.0,21/09/2020,,Attiva,S.R.L.
InCodice,Private,"Artificial Intelligence (AI), Big Data, CRM",1-10,"Monza, Lombardia, Italy","1,005,742",9.0,,,,,,,,,,,,,,,2019-01-01,Active,,20900,INCODICE S.R.L.,Monza e della Brianza,20900.0,Lombardia,,,,,620100.0,17/12/2019,,Attiva,S.R.L.
Voltar,Private,"Association, Management Consulting, Software",1-10,"Garbagnate Milanese, Lombardia, Italy","3,130,741",14.0,,,,,,,,,,,,,,,2021-01-01,Active,,20024,VOLTAR S.R.L.,Milano,20024.0,Lombardia,,,,,631200.0,16/06/2021,,Attiva,S.R.L.
Adamas Biotech,Private,"Biotechnology, Health Care, Pharmaceutical, Wellness",1-10,"Lecce, Puglia, Italy","92,061",11.0,,,4.0,2.0,"Banco BPM, Cube Labs, Istituto Nazionale Biostrutture e Biosistemi, National Biodiversity Future Center",968485.0,Corporate Round,131576.0,453145.0,,3.0,,,,2018-01-01,Active,,73024,AKA BIOTECH S.R.L.,Napoli,80145.0,Campania,VIA TOMMASO DE AMICIS 95,Napoli,80145.0,CAMPANIA,721100.0,30/10/2018,,Attiva,S.R.L.
ZenVet,Private,"Health Care, Pet, Veterinary",1-10,"Turin, Piemonte, Italy","161,197",,,,1.0,1.0,IH1,162655.0,Pre-Seed,162655.0,162655.0,Seed,1.0,,,,2024-01-20,Active,,10135,AZENET S.R.L.,Roma,141.0,Lazio,VIA DEI PRATI FISCALI 199,Roma,141.0,LAZIO,620200.0,21/04/2021,,Attiva,S.R.L.
Design Holding,Private,Industrial Design,1001-5000,"Milan, Lombardia, Italy","343,967",,,,,,,,,,,,,,,,2018-01-01,Active,$500M to $1B,20122,YALI DESIGN S.R.L.,Milano,20123.0,Lombardia,,,,,141310.0,05/05/2021,,Attiva,S.R.L.
Approxima,Private,Medical Device,1-10,"Milan, Lombardia, Italy","14,614",10.0,,,3.0,2.0,"Panakes Partners, Club degli Investitori, ENEA Tech e Biomedical",9331914.0,Series A,7615264.0,7615264.0,Early Stage Venture,2.0,,,,2020-05-28,Active,,,PROXIMA S.R.L.,Monza e della Brianza,20831.0,Lombardia,,,,,620100.0,05/05/2022,,Attiva,S.R.L.
Quickfisco,Private,"Accounting, Customer Service, Technical Support",1-10,"Milano, Lombardia, Italy","147,963",8.0,,,,,,1001949.0,Equity Crowdfunding,347849.0,654100.0,,2.0,,,,2020-01-01,Active,,20139,QUICKFISCO S.R.L.,Milano,20122.0,Lombardia,VIA CHIARAVALLE 11,Milano,20122.0,LOMBARDIA,631111.0,04/08/2020,,Attiva,S.R.L.
Aerodynamics,Private,"Artificial Intelligence (AI), Cloud Infrastructure, Software",1-10,"Milan, Lombardia, Italy","2,637,562",10.0,,,,,,,,,,,,Andrea Balzano,1.0,,2019-04-30,Active,Less than $1M,20145,AERODYNAMICS S.R.L.,Milano,20143.0,Lombardia,,,,,620100.0,30/04/2019,,Attiva,S.R.L.
Agribiom,Private,"Agriculture, Biomass Energy, Environmental Consulting",1-10,"Naples, Campania, Italy","3,184,278",4.0,,,,,,,,,,,,,,,2018-08-03,Active,Less than $1M,80143,AGRIBIOM SRL,Napoli,80143.0,Campania,CORSO NOVARA 10,Napoli,80143.0,CAMPANIA,721909.0,03/08/2018,,Attiva,S.R.L.
Semplifico,Private,"Consulting, Crowdfunding, Training",11-50,"Pedavena, Veneto, Italy","2,532,926",,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,32034,SEMPLIFAI S.R.L.,Milano,20124.0,Lombardia,,,,,620909.0,16/09/2021,,Attiva,S.R.L.
Skipper,Private,"Database, E-Commerce, E-Commerce Platforms, Information Technology",11-50,"Naples, Campania, Italy","1,922,791",11.0,,,,,,,,,,,,,,,2020-01-01,Active,,80122,SKIPPER S.R.L.,Napoli,80122.0,Campania,VIA FRANCESCO CARACCIOLO 15,Napoli,80122.0,CAMPANIA,620200.0,06/11/2020,,Attiva,S.R.L.
Officina Creattiva,Private,"Advertising, E-Commerce, Shopping, Wearables",1-10,"Milan, Lombardia, Italy","3,250,862",3.0,,,,,,,,,,,,,,,2018-05-07,Active,Less than $1M,,OFFICINA KREATIVA S.R.L.,Crotone,88900.0,Calabria,VIA TOMMASO CAMPANELLA 11/13,Crotone,88900.0,CALABRIA,620100.0,25/09/2019,,Attiva,S.R.L.
uData,Private,"Analytics, Business Intelligence, Machine Learning",1-10,"Genoa, Liguria, Italy","1,099,624",11.0,,,,,,,,,,,,Gian Luigi Boi,1.0,,2021-01-01,Active,,16121,UDATA S.R.L.,Genova,16121.0,Liguria,,,,,620200.0,05/03/2021,,Attiva,S.R.L.
Fuori Codice,Private,"Advertising, Brand Marketing, IT Management",1-10,"Verona, Veneto, Italy","2,328,991",14.0,,,,,,,,,,,,,,,2019-01-01,Active,,37135,FUORI CODICE S.R.L. IN LIQUIDAZIONE,Verona,37135.0,Veneto,,,,,620100.0,12/09/2019,,In liquidazione,S.R.L.
Alberto Olivero,Private,"Consumer Goods, Fashion, Manufacturing, Product Design",1-10,"Sommariva Del Bosco, Piemonte, Italy","1,066,298",7.0,,,,,,,,,,,,,,,2018-01-01,Active,,12048,ALBERTO OLIVERO S.R.L.,Roma,196.0,Lazio,,,,,151209.0,11/03/2022,,Attiva,S.R.L.
Hoken Tech,Private,"Blockchain, Computer Vision, Machine Learning, Non-Fungible Token (NFT), Video Games, Web3",1-10,"Molfetta, Puglia, Italy","192,086",,,,,,,,,,,,,Alfredo de Candia,1.0,,2022-03-14,Active,,70056,ENTECH SRL,Vicenza,36061.0,Veneto,,,,,289410.0,19/02/2020,,Attiva,S.R.L.
Nexent S.r.l.,Private,"Casual Games, Online Games, Software",1-10,"Milan, Lombardia, Italy","3,611,145",5.0,,,,,,,,,,,,"Giuseppe Capozzo, Matteo Parmi, Yari D'areglia",3.0,,2021-04-22,Active,,20121,NEXEN S.R.L.,Arezzo,52011.0,Toscana,,,,,279009.0,15/09/2020,,Attiva,S.R.L.
